"time
References : ['TRAN.OUT']
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real","TRAN.OUT
References : []
Dependency : [time]
Num. Points : [215219]
Matrix Size : scalar
Type : Real"
2.701 nsec,-16.24 fV
2.706 nsec,-16.44 fV
2.711 nsec,-16.47 fV
2.716 nsec,-16.38 fV
2.721 nsec,-16.56 fV
2.726 nsec,-16.48 fV
2.731 nsec,-16.41 fV
2.736 nsec,-16.33 fV
2.741 nsec,-15.04 fV
2.746 nsec,-12.85 fV
2.751 nsec,-10.63 fV
2.756 nsec,-8.978 fV
2.761 nsec,-7.695 fV
2.766 nsec,-6.837 fV
2.771 nsec,-6.257 fV
2.776 nsec,-4.836 fV
2.781 nsec,-2.771 fV
2.786 nsec,-768.4 aV
2.791 nsec,1.213 fV
2.796 nsec,3.744 fV
2.801 nsec,6.448 fV
2.806 nsec,8.631 fV
2.811 nsec,11.00 fV
2.816 nsec,13.05 fV
2.821 nsec,14.66 fV
2.826 nsec,16.14 fV
2.831 nsec,17.60 fV
2.836 nsec,18.71 fV
2.841 nsec,19.60 fV
2.846 nsec,20.61 fV
2.851 nsec,21.46 fV
2.856 nsec,21.64 fV
2.861 nsec,21.80 fV
2.866 nsec,22.34 fV
2.871 nsec,22.45 fV
2.876 nsec,21.84 fV
2.881 nsec,21.62 fV
2.886 nsec,21.58 fV
2.891 nsec,20.74 fV
2.896 nsec,19.04 fV
2.901 nsec,17.30 fV
2.906 nsec,16.16 fV
2.911 nsec,15.36 fV
2.916 nsec,14.71 fV
2.921 nsec,14.69 fV
2.926 nsec,14.59 fV
2.931 nsec,14.24 fV
2.936 nsec,13.49 fV
2.941 nsec,12.50 fV
2.946 nsec,11.72 fV
2.951 nsec,10.51 fV
2.956 nsec,8.672 fV
2.961 nsec,6.685 fV
2.966 nsec,5.109 fV
2.971 nsec,4.189 fV
2.976 nsec,3.328 fV
2.981 nsec,1.312 fV
2.986 nsec,-1.467 fV
2.991 nsec,-3.979 fV
2.996 nsec,-6.032 fV
3.001 nsec,-7.646 fV
3.006 nsec,-9.197 fV
3.011 nsec,-10.71 fV
3.016 nsec,-12.15 fV
3.021 nsec,-13.31 fV
3.026 nsec,-14.04 fV
3.031 nsec,-14.60 fV
3.036 nsec,-15.26 fV
3.041 nsec,-16.15 fV
3.046 nsec,-16.25 fV
3.051 nsec,-16.13 fV
3.056 nsec,-15.80 fV
3.061 nsec,-14.93 fV
3.066 nsec,-13.93 fV
3.071 nsec,-13.10 fV
3.076 nsec,-12.75 fV
3.081 nsec,-12.99 fV
3.086 nsec,-12.55 fV
3.091 nsec,-11.25 fV
3.096 nsec,-9.484 fV
3.101 nsec,-8.130 fV
3.106 nsec,-7.374 fV
3.111 nsec,-7.154 fV
3.116 nsec,-6.853 fV
3.121 nsec,-5.935 fV
3.126 nsec,-4.694 fV
3.131 nsec,-3.720 fV
3.136 nsec,-2.802 fV
3.141 nsec,-1.094 fV
3.146 nsec,1.376 fV
3.151 nsec,3.791 fV
3.156 nsec,5.789 fV
3.161 nsec,7.663 fV
3.166 nsec,9.391 fV
3.171 nsec,11.09 fV
3.176 nsec,12.67 fV
3.181 nsec,14.20 fV
3.186 nsec,15.75 fV
3.191 nsec,16.69 fV
3.196 nsec,17.55 fV
3.201 nsec,19.04 fV
3.206 nsec,20.57 fV
3.211 nsec,21.12 fV
3.216 nsec,21.05 fV
3.221 nsec,20.97 fV
3.226 nsec,20.84 fV
3.231 nsec,20.77 fV
3.236 nsec,20.27 fV
3.241 nsec,19.36 fV
3.246 nsec,18.20 fV
3.251 nsec,16.99 fV
3.256 nsec,15.88 fV
3.261 nsec,14.50 fV
3.266 nsec,12.72 fV
3.271 nsec,10.52 fV
3.276 nsec,8.011 fV
3.281 nsec,5.849 fV
