"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.182 GHz,-57.813
1.183 GHz,-57.824
1.183 GHz,-57.835
1.183 GHz,-57.846
1.183 GHz,-57.857
1.184 GHz,-57.867
1.184 GHz,-57.878
1.184 GHz,-57.889
1.185 GHz,-57.900
1.185 GHz,-57.911
1.185 GHz,-57.921
1.185 GHz,-57.932
1.186 GHz,-57.943
1.186 GHz,-57.954
1.186 GHz,-57.965
1.186 GHz,-57.975
1.187 GHz,-57.986
1.187 GHz,-57.997
1.187 GHz,-58.008
1.188 GHz,-58.019
1.188 GHz,-58.029
1.188 GHz,-58.040
1.188 GHz,-58.051
1.189 GHz,-58.062
1.189 GHz,-58.073
1.189 GHz,-58.083
1.190 GHz,-58.094
1.190 GHz,-58.105
1.190 GHz,-58.118
1.190 GHz,-58.133
1.191 GHz,-58.147
1.191 GHz,-58.162
1.191 GHz,-58.177
1.192 GHz,-58.192
1.192 GHz,-58.207
1.192 GHz,-58.222
1.192 GHz,-58.236
1.193 GHz,-58.251
1.193 GHz,-58.266
1.193 GHz,-58.281
1.194 GHz,-58.296
1.194 GHz,-58.311
1.194 GHz,-58.325
1.194 GHz,-58.340
1.195 GHz,-58.355
1.195 GHz,-58.370
1.195 GHz,-58.385
1.195 GHz,-58.400
1.196 GHz,-58.414
1.196 GHz,-58.429
1.196 GHz,-58.444
1.197 GHz,-58.459
1.197 GHz,-58.474
1.197 GHz,-58.489
1.197 GHz,-58.503
1.198 GHz,-58.518
1.198 GHz,-58.533
1.198 GHz,-58.548
1.199 GHz,-58.563
1.199 GHz,-58.578
1.199 GHz,-58.592
1.199 GHz,-58.607
1.200 GHz,-58.622
1.200 GHz,-58.637
1.200 GHz,-58.651
1.201 GHz,-58.666
1.201 GHz,-58.680
1.201 GHz,-58.695
1.201 GHz,-58.709
1.202 GHz,-58.723
1.202 GHz,-58.738
1.202 GHz,-58.752
1.202 GHz,-58.767
1.203 GHz,-58.781
1.203 GHz,-58.795
1.203 GHz,-58.810
1.204 GHz,-58.824
1.204 GHz,-58.839
1.204 GHz,-58.853
1.204 GHz,-58.868
1.205 GHz,-58.882
1.205 GHz,-58.896
1.205 GHz,-58.911
1.206 GHz,-58.925
1.206 GHz,-58.940
1.206 GHz,-58.954
1.206 GHz,-58.968
1.207 GHz,-58.983
1.207 GHz,-58.997
1.207 GHz,-59.012
1.208 GHz,-59.026
1.208 GHz,-59.040
1.208 GHz,-59.055
1.208 GHz,-59.069
1.209 GHz,-59.084
1.209 GHz,-59.098
1.209 GHz,-59.112
1.210 GHz,-59.127
1.210 GHz,-59.141
1.210 GHz,-59.155
1.210 GHz,-59.167
1.211 GHz,-59.179
1.211 GHz,-59.191
1.211 GHz,-59.203
1.212 GHz,-59.215
1.212 GHz,-59.227
1.212 GHz,-59.239
1.212 GHz,-59.251
1.213 GHz,-59.263
1.213 GHz,-59.275
1.213 GHz,-59.287
1.213 GHz,-59.299
1.214 GHz,-59.310
1.214 GHz,-59.322
1.214 GHz,-59.334
1.215 GHz,-59.346
1.215 GHz,-59.358
1.215 GHz,-59.370
1.215 GHz,-59.382
1.216 GHz,-59.394
1.216 GHz,-59.406
1.216 GHz,-59.418
1.217 GHz,-59.430
1.217 GHz,-59.442
1.217 GHz,-59.454
1.217 GHz,-59.466
1.218 GHz,-59.478
1.218 GHz,-59.490
1.218 GHz,-59.502
1.219 GHz,-59.514
1.219 GHz,-59.526
1.219 GHz,-59.538
1.219 GHz,-59.550
1.220 GHz,-59.562
1.220 GHz,-59.574
1.220 GHz,-59.586
1.220 GHz,-59.598
1.221 GHz,-59.610
1.221 GHz,-59.622
1.221 GHz,-59.635
1.222 GHz,-59.647
1.222 GHz,-59.659
1.222 GHz,-59.671
1.222 GHz,-59.683
1.223 GHz,-59.695
1.223 GHz,-59.708
1.223 GHz,-59.720
1.224 GHz,-59.732
1.224 GHz,-59.744
1.224 GHz,-59.756
1.224 GHz,-59.769
1.225 GHz,-59.781
1.225 GHz,-59.793
1.225 GHz,-59.805
1.226 GHz,-59.817
1.226 GHz,-59.829
1.226 GHz,-59.842
1.226 GHz,-59.854
1.227 GHz,-59.866
1.227 GHz,-59.878
1.227 GHz,-59.890
1.228 GHz,-59.902
1.228 GHz,-59.915
1.228 GHz,-59.927
1.228 GHz,-59.939
1.229 GHz,-59.951
1.229 GHz,-59.963
1.229 GHz,-59.976
1.230 GHz,-59.988
1.230 GHz,-60.000
1.230 GHz,-60.013
1.230 GHz,-60.030
1.231 GHz,-60.047
1.231 GHz,-60.065
