"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.282 GHz,-62.755
1.282 GHz,-62.770
1.282 GHz,-62.785
1.282 GHz,-62.800
1.283 GHz,-62.814
1.283 GHz,-62.829
1.283 GHz,-62.844
1.284 GHz,-62.859
1.284 GHz,-62.874
1.284 GHz,-62.889
1.284 GHz,-62.904
1.285 GHz,-62.919
1.285 GHz,-62.934
1.285 GHz,-62.949
1.285 GHz,-62.964
1.286 GHz,-62.978
1.286 GHz,-62.993
1.286 GHz,-63.008
1.287 GHz,-63.023
1.287 GHz,-63.038
1.287 GHz,-63.053
1.287 GHz,-63.068
1.288 GHz,-63.083
1.288 GHz,-63.098
1.288 GHz,-63.113
1.289 GHz,-63.128
1.289 GHz,-63.142
1.289 GHz,-63.157
1.289 GHz,-63.172
