"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
3.100,660.0 psec,-38.24 mV
3.100,663.0 psec,-34.92 mV
3.100,666.0 psec,-31.78 mV
3.100,669.0 psec,-28.86 mV
3.100,672.0 psec,-26.15 mV
3.200,0.0000 sec,-27.45 mV
3.200,3.000 psec,-24.82 mV
3.200,6.000 psec,-22.41 mV
3.200,9.000 psec,-20.21 mV
3.200,12.00 psec,-18.21 mV
3.200,15.00 psec,-16.40 mV
3.200,18.00 psec,-14.77 mV
3.200,21.00 psec,-13.31 mV
3.200,24.00 psec,-12.00 mV
3.200,27.00 psec,-10.84 mV
3.200,30.00 psec,-9.792 mV
3.200,33.00 psec,-8.847 mV
3.200,36.00 psec,-7.970 mV
3.200,39.00 psec,-7.127 mV
3.200,42.00 psec,-6.280 mV
3.200,45.00 psec,-5.388 mV
3.200,48.00 psec,-4.410 mV
3.200,51.00 psec,-3.307 mV
3.200,54.00 psec,-2.040 mV
3.200,57.00 psec,-574.2 uV
3.200,60.00 psec,1.121 mV
3.200,63.00 psec,3.077 mV
3.200,66.00 psec,5.321 mV
3.200,69.00 psec,7.883 mV
3.200,72.00 psec,10.79 mV
3.200,75.00 psec,14.08 mV
3.200,78.00 psec,17.78 mV
3.200,81.00 psec,21.92 mV
3.200,84.00 psec,26.53 mV
3.200,87.00 psec,31.63 mV
3.200,90.00 psec,37.22 mV
3.200,93.00 psec,43.29 mV
3.200,96.00 psec,49.81 mV
3.200,99.00 psec,56.70 mV
3.200,102.0 psec,63.87 mV
3.200,105.0 psec,71.21 mV
3.200,108.0 psec,78.54 mV
3.200,111.0 psec,85.71 mV
3.200,114.0 psec,92.52 mV
3.200,117.0 psec,98.76 mV
3.200,120.0 psec,104.2 mV
3.200,123.0 psec,108.8 mV
3.200,126.0 psec,112.2 mV
3.200,129.0 psec,114.4 mV
3.200,132.0 psec,115.3 mV
3.200,135.0 psec,114.8 mV
3.200,138.0 psec,112.9 mV
3.200,141.0 psec,109.7 mV
3.200,144.0 psec,105.1 mV
3.200,147.0 psec,99.45 mV
3.200,150.0 psec,92.73 mV
3.200,153.0 psec,85.13 mV
3.200,156.0 psec,76.84 mV
3.200,159.0 psec,68.03 mV
3.200,162.0 psec,58.89 mV
3.200,165.0 psec,49.59 mV
3.200,168.0 psec,40.32 mV
3.200,171.0 psec,31.24 mV
3.200,174.0 psec,22.49 mV
3.200,177.0 psec,14.21 mV
3.200,180.0 psec,6.511 mV
3.200,183.0 psec,-510.4 uV
3.200,186.0 psec,-6.782 mV
3.200,189.0 psec,-12.26 mV
3.200,192.0 psec,-16.91 mV
3.200,195.0 psec,-20.74 mV
3.200,198.0 psec,-23.78 mV
3.200,201.0 psec,-26.08 mV
3.200,204.0 psec,-27.72 mV
