"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
2.556 nsec,140.9 uV
2.561 nsec,129.3 uV
2.566 nsec,118.4 uV
2.571 nsec,108.4 uV
2.576 nsec,99.09 uV
2.581 nsec,90.59 uV
2.586 nsec,82.89 uV
2.591 nsec,75.97 uV
2.596 nsec,69.86 uV
2.601 nsec,64.55 uV
2.606 nsec,60.06 uV
2.611 nsec,56.40 uV
2.616 nsec,53.57 uV
2.621 nsec,51.59 uV
2.626 nsec,50.46 uV
2.631 nsec,50.19 uV
2.636 nsec,50.81 uV
2.641 nsec,52.31 uV
2.646 nsec,54.71 uV
2.651 nsec,58.01 uV
2.656 nsec,62.24 uV
2.661 nsec,67.40 uV
2.666 nsec,73.49 uV
2.671 nsec,80.54 uV
2.676 nsec,88.54 uV
2.681 nsec,97.50 uV
2.686 nsec,107.4 uV
2.691 nsec,118.3 uV
2.696 nsec,130.2 uV
2.701 nsec,143.1 uV
2.706 nsec,157.0 uV
2.711 nsec,171.8 uV
2.716 nsec,187.7 uV
2.721 nsec,204.5 uV
2.726 nsec,222.3 uV
2.731 nsec,241.1 uV
2.736 nsec,260.9 uV
2.741 nsec,281.6 uV
2.746 nsec,303.3 uV
2.751 nsec,325.9 uV
2.756 nsec,349.4 uV
2.761 nsec,373.9 uV
2.766 nsec,399.3 uV
2.771 nsec,425.5 uV
2.776 nsec,452.6 uV
2.781 nsec,480.6 uV
2.786 nsec,509.4 uV
2.791 nsec,539.0 uV
2.796 nsec,569.4 uV
2.801 nsec,600.5 uV
2.806 nsec,632.4 uV
2.811 nsec,665.0 uV
2.816 nsec,698.3 uV
2.821 nsec,732.2 uV
2.826 nsec,766.7 uV
2.831 nsec,801.9 uV
2.836 nsec,837.6 uV
2.841 nsec,873.9 uV
2.846 nsec,910.8 uV
2.851 nsec,948.1 uV
2.856 nsec,985.9 uV
2.861 nsec,1.024 mV
2.866 nsec,1.063 mV
2.871 nsec,1.102 mV
2.876 nsec,1.141 mV
2.881 nsec,1.181 mV
2.886 nsec,1.221 mV
2.891 nsec,1.262 mV
2.896 nsec,1.302 mV
2.901 nsec,1.343 mV
2.906 nsec,1.385 mV
2.911 nsec,1.426 mV
2.916 nsec,1.468 mV
2.921 nsec,1.510 mV
