"freq
References : ['phase(analysis.SP.S(1,1))']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","phase(analysis.SP.S(1,1))
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
1.172 GHz,-137.032
1.172 GHz,-137.020
1.172 GHz,-137.008
1.173 GHz,-136.996
1.173 GHz,-136.984
1.173 GHz,-136.972
1.174 GHz,-136.960
1.174 GHz,-136.948
1.174 GHz,-136.936
1.174 GHz,-136.924
1.175 GHz,-136.912
1.175 GHz,-136.900
1.175 GHz,-136.887
1.175 GHz,-136.875
1.176 GHz,-136.863
1.176 GHz,-136.851
1.176 GHz,-136.838
1.177 GHz,-136.826
1.177 GHz,-136.813
1.177 GHz,-136.800
1.177 GHz,-136.787
1.178 GHz,-136.774
1.178 GHz,-136.761
1.178 GHz,-136.748
1.179 GHz,-136.734
1.179 GHz,-136.721
1.179 GHz,-136.707
1.179 GHz,-136.693
1.180 GHz,-136.679
1.180 GHz,-136.665
1.180 GHz,-136.650
1.181 GHz,-136.635
1.181 GHz,-136.620
1.181 GHz,-136.604
1.181 GHz,-136.587
1.182 GHz,-136.571
1.182 GHz,-136.554
1.182 GHz,-136.537
1.183 GHz,-136.519
1.183 GHz,-136.502
1.183 GHz,-136.484
1.183 GHz,-136.466
1.184 GHz,-136.448
1.184 GHz,-136.430
1.184 GHz,-136.412
1.185 GHz,-136.393
1.185 GHz,-136.375
1.185 GHz,-136.357
1.185 GHz,-136.340
1.186 GHz,-136.322
1.186 GHz,-136.304
1.186 GHz,-136.287
1.186 GHz,-136.270
1.187 GHz,-136.253
1.187 GHz,-136.236
1.187 GHz,-136.220
1.188 GHz,-136.204
1.188 GHz,-136.189
1.188 GHz,-136.174
1.188 GHz,-136.160
1.189 GHz,-136.146
1.189 GHz,-136.132
1.189 GHz,-136.120
1.190 GHz,-136.108
1.190 GHz,-136.096
1.190 GHz,-136.085
1.190 GHz,-136.075
1.191 GHz,-136.066
1.191 GHz,-136.057
1.191 GHz,-136.048
1.192 GHz,-136.040
1.192 GHz,-136.033
1.192 GHz,-136.026
1.192 GHz,-136.019
1.193 GHz,-136.013
1.193 GHz,-136.007
1.193 GHz,-136.002
1.194 GHz,-135.997
1.194 GHz,-135.992
1.194 GHz,-135.987
1.194 GHz,-135.983
1.195 GHz,-135.979
1.195 GHz,-135.975
1.195 GHz,-135.971
1.195 GHz,-135.967
1.196 GHz,-135.963
1.196 GHz,-135.960
1.196 GHz,-135.956
1.197 GHz,-135.952
1.197 GHz,-135.949
1.197 GHz,-135.945
1.197 GHz,-135.941
1.198 GHz,-135.937
