"time
References : ['TRAN.Vout']
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real","TRAN.Vout
References : []
Dependency : [time]
Num. Points : [200010]
Matrix Size : scalar
Type : Real"
3.736 nsec,1.439 mV
3.741 nsec,1.419 mV
3.746 nsec,1.399 mV
3.751 nsec,1.379 mV
3.756 nsec,1.359 mV
3.761 nsec,1.340 mV
3.766 nsec,1.320 mV
3.771 nsec,1.300 mV
3.776 nsec,1.281 mV
3.781 nsec,1.261 mV
3.786 nsec,1.242 mV
3.791 nsec,1.223 mV
3.796 nsec,1.203 mV
3.801 nsec,1.184 mV
3.806 nsec,1.165 mV
3.811 nsec,1.146 mV
3.816 nsec,1.127 mV
3.821 nsec,1.108 mV
3.826 nsec,1.089 mV
3.831 nsec,1.070 mV
3.836 nsec,1.051 mV
3.841 nsec,1.032 mV
3.846 nsec,1.014 mV
3.851 nsec,995.0 uV
3.856 nsec,976.3 uV
3.861 nsec,957.7 uV
3.866 nsec,939.2 uV
3.871 nsec,920.7 uV
3.876 nsec,902.2 uV
3.881 nsec,883.8 uV
3.886 nsec,865.5 uV
3.891 nsec,847.2 uV
3.896 nsec,828.9 uV
3.901 nsec,810.7 uV
3.906 nsec,792.6 uV
3.911 nsec,774.5 uV
3.916 nsec,756.5 uV
3.921 nsec,738.6 uV
3.926 nsec,720.8 uV
3.931 nsec,703.1 uV
3.936 nsec,685.5 uV
3.941 nsec,668.0 uV
3.946 nsec,650.6 uV
3.951 nsec,633.4 uV
3.956 nsec,616.3 uV
3.961 nsec,599.4 uV
3.966 nsec,582.7 uV
3.971 nsec,566.2 uV
3.976 nsec,549.9 uV
3.981 nsec,533.8 uV
3.986 nsec,518.0 uV
3.991 nsec,502.5 uV
3.996 nsec,487.2 uV
4.001 nsec,472.2 uV
4.006 nsec,457.5 uV
4.011 nsec,443.1 uV
4.016 nsec,429.1 uV
4.021 nsec,415.4 uV
4.026 nsec,402.1 uV
4.031 nsec,389.1 uV
4.036 nsec,376.6 uV
4.041 nsec,364.4 uV
4.046 nsec,352.7 uV
4.051 nsec,341.4 uV
4.056 nsec,330.5 uV
4.061 nsec,320.1 uV
4.066 nsec,310.1 uV
4.071 nsec,300.6 uV
4.076 nsec,291.5 uV
4.081 nsec,282.9 uV
4.086 nsec,274.8 uV
4.091 nsec,267.2 uV
4.096 nsec,260.0 uV
4.101 nsec,253.3 uV
4.106 nsec,247.1 uV
4.111 nsec,241.4 uV
4.116 nsec,236.1 uV
4.121 nsec,231.3 uV
4.126 nsec,227.0 uV
4.131 nsec,223.1 uV
4.136 nsec,219.7 uV
4.141 nsec,216.8 uV
4.146 nsec,214.2 uV
4.151 nsec,212.1 uV
4.156 nsec,210.5 uV
4.161 nsec,209.2 uV
4.166 nsec,208.4 uV
4.171 nsec,207.9 uV
4.176 nsec,207.8 uV
4.181 nsec,208.1 uV
4.186 nsec,208.8 uV
4.191 nsec,209.9 uV
4.196 nsec,211.2 uV
4.201 nsec,213.0 uV
4.206 nsec,215.0 uV
4.211 nsec,217.4 uV
4.216 nsec,220.1 uV
4.221 nsec,223.2 uV
4.226 nsec,226.5 uV
4.231 nsec,230.1 uV
4.236 nsec,234.0 uV
4.241 nsec,238.3 uV
4.246 nsec,242.8 uV
4.251 nsec,247.5 uV
4.256 nsec,252.6 uV
4.261 nsec,258.0 uV
4.266 nsec,263.6 uV
4.271 nsec,269.5 uV
4.276 nsec,275.7 uV
4.281 nsec,282.2 uV
4.286 nsec,288.9 uV
4.291 nsec,296.0 uV
4.296 nsec,303.3 uV
4.301 nsec,311.0 uV
4.306 nsec,318.9 uV
4.311 nsec,327.2 uV
4.316 nsec,335.7 uV
4.321 nsec,344.6 uV
4.326 nsec,353.8 uV
4.331 nsec,363.3 uV
4.336 nsec,373.2 uV
4.341 nsec,383.3 uV
4.346 nsec,393.9 uV
4.351 nsec,404.8 uV
4.356 nsec,416.0 uV
4.361 nsec,427.6 uV
4.366 nsec,439.5 uV
4.371 nsec,451.8 uV
4.376 nsec,464.5 uV
4.381 nsec,477.5 uV
4.386 nsec,490.9 uV
4.391 nsec,504.7 uV
4.396 nsec,518.8 uV
4.401 nsec,533.3 uV
4.406 nsec,548.1 uV
4.411 nsec,563.3 uV
4.416 nsec,578.9 uV
4.421 nsec,594.7 uV
4.426 nsec,611.0 uV
4.431 nsec,627.5 uV
4.436 nsec,644.4 uV
4.441 nsec,661.6 uV
4.446 nsec,679.1 uV
4.451 nsec,696.9 uV
4.456 nsec,714.9 uV
4.461 nsec,733.2 uV
4.466 nsec,751.8 uV
4.471 nsec,770.6 uV
4.476 nsec,789.6 uV
4.481 nsec,808.8 uV
4.486 nsec,828.2 uV
4.491 nsec,847.8 uV
4.496 nsec,867.5 uV
4.501 nsec,887.4 uV
4.506 nsec,907.4 uV
