"Vcc
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","time
References : ['ts(HB.Vout)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","ts(HB.Vout)
References : []
Dependency : [Vcc,time]
Num. Points : [7,225]
Matrix Size : scalar
Type : Real"
5.200,27.04 psec,-45.49 mV
5.200,30.05 psec,-44.92 mV
5.200,33.05 psec,-44.59 mV
5.200,36.06 psec,-44.44 mV
5.200,39.06 psec,-44.39 mV
5.200,42.07 psec,-44.36 mV
5.200,45.07 psec,-44.26 mV
5.200,48.07 psec,-44.01 mV
5.200,51.08 psec,-43.53 mV
5.200,54.08 psec,-42.71 mV
5.200,57.09 psec,-41.49 mV
5.200,60.09 psec,-39.77 mV
5.200,63.10 psec,-37.49 mV
5.200,66.10 psec,-34.58 mV
5.200,69.11 psec,-30.99 mV
5.200,72.11 psec,-26.65 mV
5.200,75.12 psec,-21.55 mV
5.200,78.12 psec,-15.63 mV
5.200,81.13 psec,-8.901 mV
5.200,84.13 psec,-1.345 mV
5.200,87.13 psec,7.027 mV
5.200,90.14 psec,16.19 mV
5.200,93.14 psec,26.10 mV
5.200,96.15 psec,36.69 mV
5.200,99.15 psec,47.88 mV
5.200,102.2 psec,59.58 mV
5.200,105.2 psec,71.63 mV
5.200,108.2 psec,83.90 mV
5.200,111.2 psec,96.21 mV
5.200,114.2 psec,108.4 mV
5.200,117.2 psec,120.2 mV
5.200,120.2 psec,131.4 mV
5.200,123.2 psec,141.8 mV
5.200,126.2 psec,151.2 mV
5.200,129.2 psec,159.3 mV
5.200,132.2 psec,166.1 mV
5.200,135.2 psec,171.4 mV
5.200,138.2 psec,174.9 mV
5.200,141.2 psec,176.7 mV
5.200,144.2 psec,176.7 mV
5.200,147.2 psec,175.0 mV
5.200,150.2 psec,171.4 mV
5.200,153.2 psec,166.3 mV
5.200,156.2 psec,159.5 mV
5.200,159.2 psec,151.4 mV
5.200,162.3 psec,142.0 mV
5.200,165.3 psec,131.6 mV
5.200,168.3 psec,120.4 mV
5.200,171.3 psec,108.5 mV
5.200,174.3 psec,96.28 mV
5.200,177.3 psec,83.85 mV
5.200,180.3 psec,71.45 mV
5.200,183.3 psec,59.25 mV
5.200,186.3 psec,47.46 mV
5.200,189.3 psec,36.22 mV
5.200,192.3 psec,25.68 mV
5.200,195.3 psec,15.95 mV
5.200,198.3 psec,7.109 mV
5.200,201.3 psec,-779.4 uV
5.200,204.3 psec,-7.689 mV
5.200,207.3 psec,-13.62 mV
5.200,210.3 psec,-18.61 mV
5.200,213.3 psec,-22.70 mV
5.200,216.3 psec,-25.98 mV
5.200,219.3 psec,-28.55 mV
5.200,222.3 psec,-30.52 mV
5.200,225.3 psec,-32.01 mV
5.200,228.4 psec,-33.16 mV
5.200,231.4 psec,-34.08 mV
5.200,234.4 psec,-34.90 mV
5.200,237.4 psec,-35.74 mV
5.200,240.4 psec,-36.71 mV
5.200,243.4 psec,-37.89 mV
5.200,246.4 psec,-39.36 mV
5.200,249.4 psec,-41.17 mV
5.200,252.4 psec,-43.36 mV
5.200,255.4 psec,-45.97 mV
5.200,258.4 psec,-48.99 mV
5.200,261.4 psec,-52.40 mV
5.200,264.4 psec,-56.18 mV
5.200,267.4 psec,-60.28 mV
5.200,270.4 psec,-64.63 mV
5.200,273.4 psec,-69.16 mV
5.200,276.4 psec,-73.75 mV
5.200,279.4 psec,-78.31 mV
5.200,282.4 psec,-82.73 mV
5.200,285.4 psec,-86.88 mV
5.200,288.4 psec,-90.64 mV
5.200,291.5 psec,-93.91 mV
5.200,294.5 psec,-96.58 mV
5.200,297.5 psec,-98.58 mV
5.200,300.5 psec,-99.82 mV
5.200,303.5 psec,-100.3 mV
5.200,306.5 psec,-99.96 mV
5.200,309.5 psec,-98.86 mV
5.200,312.5 psec,-97.02 mV
5.200,315.5 psec,-94.51 mV
5.200,318.5 psec,-91.43 mV
5.200,321.5 psec,-87.88 mV
5.200,324.5 psec,-83.98 mV
5.200,327.5 psec,-79.85 mV
5.200,330.5 psec,-75.62 mV
5.200,333.5 psec,-71.39 mV
5.200,336.5 psec,-67.29 mV
5.200,339.5 psec,-63.39 mV
5.200,342.5 psec,-59.79 mV
5.200,345.5 psec,-56.53 mV
5.200,348.5 psec,-53.67 mV
5.200,351.5 psec,-51.22 mV
5.200,354.5 psec,-49.20 mV
5.200,357.6 psec,-47.59 mV
5.200,360.6 psec,-46.36 mV
5.200,363.6 psec,-45.49 mV
5.200,366.6 psec,-44.92 mV
5.200,369.6 psec,-44.59 mV
5.200,372.6 psec,-44.44 mV
5.200,375.6 psec,-44.39 mV
5.200,378.6 psec,-44.36 mV
5.200,381.6 psec,-44.26 mV
5.200,384.6 psec,-44.01 mV
5.200,387.6 psec,-43.53 mV
5.200,390.6 psec,-42.71 mV
5.200,393.6 psec,-41.49 mV
5.200,396.6 psec,-39.77 mV
5.200,399.6 psec,-37.49 mV
5.200,402.6 psec,-34.58 mV
5.200,405.6 psec,-30.99 mV
5.200,408.6 psec,-26.65 mV
5.200,411.6 psec,-21.55 mV
5.200,414.6 psec,-15.63 mV
5.200,417.6 psec,-8.901 mV
5.200,420.7 psec,-1.345 mV
5.200,423.7 psec,7.027 mV
5.200,426.7 psec,16.19 mV
5.200,429.7 psec,26.10 mV
5.200,432.7 psec,36.69 mV
5.200,435.7 psec,47.88 mV
5.200,438.7 psec,59.58 mV
5.200,441.7 psec,71.63 mV
5.200,444.7 psec,83.90 mV
5.200,447.7 psec,96.21 mV
5.200,450.7 psec,108.4 mV
5.200,453.7 psec,120.2 mV
5.200,456.7 psec,131.4 mV
5.200,459.7 psec,141.8 mV
5.200,462.7 psec,151.2 mV
5.200,465.7 psec,159.3 mV
5.200,468.7 psec,166.1 mV
5.200,471.7 psec,171.4 mV
5.200,474.7 psec,174.9 mV
5.200,477.7 psec,176.7 mV
5.200,480.7 psec,176.7 mV
5.200,483.7 psec,175.0 mV
5.200,486.8 psec,171.4 mV
5.200,489.8 psec,166.3 mV
5.200,492.8 psec,159.5 mV
5.200,495.8 psec,151.4 mV
5.200,498.8 psec,142.0 mV
5.200,501.8 psec,131.6 mV
5.200,504.8 psec,120.4 mV
5.200,507.8 psec,108.5 mV
5.200,510.8 psec,96.28 mV
5.200,513.8 psec,83.85 mV
5.200,516.8 psec,71.45 mV
5.200,519.8 psec,59.25 mV
5.200,522.8 psec,47.46 mV
5.200,525.8 psec,36.22 mV
5.200,528.8 psec,25.68 mV
5.200,531.8 psec,15.95 mV
5.200,534.8 psec,7.109 mV
5.200,537.8 psec,-779.4 uV
5.200,540.8 psec,-7.689 mV
5.200,543.8 psec,-13.62 mV
5.200,546.8 psec,-18.61 mV
5.200,549.9 psec,-22.70 mV
5.200,552.9 psec,-25.98 mV
5.200,555.9 psec,-28.55 mV
5.200,558.9 psec,-30.52 mV
5.200,561.9 psec,-32.01 mV
5.200,564.9 psec,-33.16 mV
5.200,567.9 psec,-34.08 mV
5.200,570.9 psec,-34.90 mV
5.200,573.9 psec,-35.74 mV
5.200,576.9 psec,-36.71 mV
5.200,579.9 psec,-37.89 mV
5.200,582.9 psec,-39.36 mV
5.200,585.9 psec,-41.17 mV
5.200,588.9 psec,-43.36 mV
5.200,591.9 psec,-45.97 mV
5.200,594.9 psec,-48.99 mV
5.200,597.9 psec,-52.40 mV
5.200,600.9 psec,-56.18 mV
5.200,603.9 psec,-60.28 mV
5.200,606.9 psec,-64.63 mV
5.200,609.9 psec,-69.16 mV
5.200,612.9 psec,-73.75 mV
5.200,616.0 psec,-78.31 mV
5.200,619.0 psec,-82.73 mV
5.200,622.0 psec,-86.88 mV
5.200,625.0 psec,-90.64 mV
5.200,628.0 psec,-93.91 mV
5.200,631.0 psec,-96.58 mV
5.200,634.0 psec,-98.58 mV
5.200,637.0 psec,-99.82 mV
5.200,640.0 psec,-100.3 mV
5.200,643.0 psec,-99.96 mV
5.200,646.0 psec,-98.86 mV
5.200,649.0 psec,-97.02 mV
5.200,652.0 psec,-94.51 mV
5.200,655.0 psec,-91.43 mV
